agent_id,ens_name,feedback_count,tier,ensip25_status,record_value
22674,hosehead.eth,4,Trusted,unverified,
22775,arcabot.eth,3,Trusted,unverified,
22691,ganland.eth,3,Emerging,unverified,
24163,marvin.eth,1,Emerging,unverified,
21963,clawdbotatg.eth,1,Emerging,unverified,
23203,clophorse.eth,0,Unrated,unverified,
24011,megaclawd.eth,0,Unrated,error,ResolverNotFound
26433,ens-registration-agent.ses.eth,0,Unrated,VERIFIED,1
26433,ses.eth,0,Unrated,unverified,
22671,beanbotai.eth,0,Unrated,error,ResolverNotFound
22680,nexus-agi.eth,0,Unrated,unverified,
22731,jernau.eth,0,Unrated,unverified,
22903,atv.eth,0,Unrated,VERIFIED,1
25252,0xmadre.eth,0,Unrated,unverified,
28211,hodlclone.eth,0,Unrated,unverified,
28211,agent.hodlclone.eth,0,Unrated,unverified,
28418,june-nbeta.eth,0,Unrated,unverified,
31886,meerkatt.eth,0,Unrated,unverified,
29149,agent-1.eth,0,Unrated,error,ResolverNotFound
29149,agent-1.eth.xid.eth,0,Unrated,unverified,
29149,xid.eth,0,Unrated,error,ResolverNotFound
