recipient,distinct_payers,payments,usdc_volume,agent
0x68396bd35874695ad86cd29410bd80a550991a2b,132,132,7.38,
0xa9dd7cc9cbf0e05551332209289f04be36bc2315,22,258,0.52,
0x40a8cdd6a10ec1a8cb3dfb2834675e7a2cf4ad8b,9,20,0.14,
0x4466d4a84b7c49a6a094ec6eef4a0712d6dd125e,5,10,0.09,
0xe9030014f5dae217d0a152f02a043567b16c1abf,4,1519,30.62,
0x78f993378ff7890daac1689f79e7db2291e73928,3,72,7.2,
0x85a780e439b71cddf0861e3d254a22f50ad5109b,3,3,0.0,
0x85b47b40455ab2bd7921f76dce841b48c82d627c,2,18,1.42,
0x636678e4be5598f345e6c262f4798d7f1bd3f1e2,2,4,0.21,
0xdb5aa553feeb2c3e3d03e8360b36fb0f7e480671,2,2,0.04,
0x06dff3c8380b5d1799874ada903fc3422882fd6f,2,2,0.03,
0xe62923133a417cee4241677865ed5a63f44f4b54,1,1,0.01,
0xffc458db291b4abce020fe3de4f91f2770e537b1,1,1,0.0,
0x7dbb4bdcfe614398d1a68ecc219f15280d0959e0,1,1,602.16,
0xe82ebef57fa5af958b8ecb6843d4327d314f59e3,1,2,0.01,
0xc7f347369e5e26c03c050c5ec9cc366b1819c044,1,1,0.32,
0x260fbe1ec46968ee02e5b972507d7bb7f09f82b0,1,1,0.01,
0xcfa26f13c6c18307033ece13bbb8f470da5b4dbe,1,4,0.24,
0x9dba414637c611a16bea6f0796bfcbcbdc410df8,1,2,0.01,
0x0576e830b93891022fb122e21aea9a7f77455732,1,1,0.27,
0xcd3273893d1c8df15a4d6bc411aa3d25a60fdc60,1,1,0.0,
0x0e84ddedaae6a779c462c22a59f301ec31b6b808,1,2,0.0,
0x8e525bfce1ef40aa8075ef64e45421b5855c8909,1,2,0.0,
0x5f114bb1b71f78fcc601ecc479978d685f2d468a,1,2,0.61,
0x5d5e0cf1cd611ff6f08e9c5a11cd068ab9b63085,1,1,0.1,
0x0e357c71c9a49dec614a232ae6828b313a963584,1,2,0.57,
0x54d6c2c08e10f1a1d3da88df513bbe9bcf1a4afa,1,2,0.1,
0xa6a8736f18f383f1cc2d938576933e5ea7df01a1,1,1,0.01,
0x325bdf6f7efab24a2210c48c1b64cab2eae1d430,1,4,0.12,
0x7dd5be069f2d2ead75ec7c3423b116ff043c2629,1,4,0.0,
0x7f74ce6d34ee0180f0217a16ce05f3b91272570f,1,1,0.05,
0xcb79b3c5a7dadcd7c30e3be252c0ca44a06c6f78,1,8,0.8,
0xdb501119a2ddf5c48f9ebbfde50a8a4d81c602aa,1,1,2.5,
0xd9df86bd335c6e1cc5dc3dacef885849b1ce0d9f,1,1,0.35,
0x2d82f5324b5d4d3862fa30a88b00e1a6130dba89,1,1,0.05,
0x66c40946b0dffd04be467e18309857307ecd37cb,1,3,0.3,
0x3dcbef58b30fac60a897cd4ed1daed5de33b32e1,1,1,0.0,
